Designator,Mid X,Mid Y,Layer,Rotation
D108,70.633905mm,19.937005mm,Top,0.0
U107,49.280505000000005mm,43.483104999999995mm,Bottom,180.0
U106,48.594605mm,30.055205mm,Top,180.0
C134,49.280505000000005mm,45.219405mm,Bottom,180.0
C126,48.291805000000004mm,28.111905mm,Top,0.0
VD102,51.540805000000006mm,48.092005mm,Bottom,90.0
VD101,48.187005mm,52.482005mm,Bottom,270.0
VD100,51.540805000000006mm,52.482005mm,Bottom,270.0
U109,51.006805mm,50.203005mm,Top,180.0
U103,73.887005mm,36.862004999999996mm,Bottom,90.0
U100,76.286905mm,30.186505mm,Top,270.0
U195,69.087005mm,44.337005mm,Top,270.0
U190,54.887005mm,44.337005mm,Top,270.0
U185,76.187005mm,44.337005mm,Top,270.0
U180,61.987005mm,44.337005mm,Top,270.0
S101,60.187305mm,21.072705mm,Top,180.0
S100,49.040505mm,34.187005mm,Top,270.0
R140,55.086905mm,50.387005mm,Bottom,180.0
R111,78.887005mm,39.037005mm,Bottom,0.0
R112,78.887005mm,37.987004999999996mm,Bottom,0.0
R117,78.887005mm,32.737004999999996mm,Bottom,0.0
R115,78.887005mm,34.837005mm,Bottom,0.0
R116,78.887005mm,33.787005mm,Bottom,0.0
R114,78.887005mm,35.887005mm,Bottom,0.0
R113,78.887005mm,36.937005mm,Bottom,0.0
R110,78.887005mm,40.087005mm,Bottom,0.0
R120,48.568705mm,26.900005mm,Top,180.0
R100,79.186905mm,30.187005mm,Bottom,270.0
R258,58.429305mm,50.892105mm,Bottom,90.0
R255,79.237005mm,52.787005mm,Bottom,90.0
R256,57.487005mm,48.187005mm,Bottom,270.0
R254,79.337005mm,50.337005mm,Top,90.0
R245,61.786905000000004mm,51.837005mm,Bottom,180.0
R227,66.587005mm,51.837005mm,Bottom,180.0
R200,76.186905mm,51.837005mm,Bottom,180.0
R197,69.086905mm,42.987004999999996mm,Bottom,0.0
R196,69.087005mm,45.787005mm,Bottom,180.0
R195,66.23690500000001mm,46.287005mm,Bottom,90.0
R191,54.987005mm,42.987004999999996mm,Bottom,0.0
R190,54.987005mm,45.787005mm,Bottom,180.0
R186,76.187005mm,42.987004999999996mm,Bottom,0.0
R185,76.187005mm,45.787005mm,Bottom,180.0
R181,61.987005mm,42.987004999999996mm,Bottom,0.0
R180,61.987005mm,45.787005mm,Bottom,180.0
R139,53.887005mm,52.887005mm,Top,90.0
R138,55.087005000000005mm,52.887005mm,Top,90.0
